3970;988.31323349475;-6354.77774168839;237.20618390647
3970copy;988.31323349475;765.222258312;237.20618390647
3971;32812.45980532758;-3563.47234076919;-823.59870092689
3971copy;32812.45980532758;3556.527659231;-823.59870092689
3972;50803.64799534729;-3559.99988174444;-1423.30497483845
3975;50798.56293029159;3559.99990621828;-1422.73910322198
3973;70804.41437559867;-3559.99971880432;-2089.99718750212
3973copy;70804.41437559867;3559.99990621828;-2089.99718750212
3974;102774.89610296187;-4065.89048708391;-4065.89048708391
3974copy;102774.89610296187;3054.109512916;-4065.89048708391

